题目1: 77.0×7.0=
题目5233: 56.0×81.0=
题目5234: 99.0÷64.0×1.0=
题目5235: 88.0-71.0=
题目5236: 28.0+53.0÷49.0=
题目5237: 68.0-14.0=
题目5238: (74.0-56.0)÷74.0=
题目5239: 27.0×75.0=
题目5240: 49.0÷63.0=
题目5241: 3.0×2.0=
题目5242: 21.0÷10.0÷34.0=
题目5243: 56.0÷52.0×76.0=
题目5244: 10.0÷66.0+19.0=
题目5245: 58.0÷79.0+15.0=
题目5246: 42.0+7.0=
题目5247: 34.0÷1.0=
题目5248: 43.0+73.0×75.0=
题目5249: 12.0÷18.0+80.0=
题目5250: 35.0×51.0×8.0=
题目5251: 91.0×41.0=
题目5252: 51.0×92.0=
题目5253: 53.0+11.0+98.0=
题目5254: 31.0÷35.0+91.0=
题目5255: 85.0-45.0=
题目5256: 72.0÷69.0÷63.0=
题目5257: 28.0-13.0=
题目5258: 99.0+36.0÷76.0+56.0=
题目5259: (34.0-30.0)÷26.0=
题目5260: 32.0×16.0=
题目5261: 92.0÷82.0=
题目5262: 21.0+74.0÷13.0=
题目5263: 70.0+89.0=
题目5264: 24.0+3.0=
题目5265: 3.0÷76.0=
题目5266: 68.0-52.0=
题目5267: 70.0-35.0=
题目5268: 46.0+67.0-18.0=
题目5269: 59.0×23.0=
题目5270: 94.0÷6.0=
题目5271: 13.0+17.0×86.0=
题目5272: 11.0×17.0=
题目5273: 65.0÷47.0=
题目5274: 33.0×56.0÷52.0=
题目5275: 30.0+66.0=
题目5276: 37.0+73.0-77.0=
题目5277: 36.0+62.0=
题目5278: 80.0+13.0÷14.0=
题目5279: 93.0+91.0-64.0=
题目5280: 35.0×93.0=
题目5281: 80.0×30.0=
题目5282: 44.0+37.0+77.0=
题目5283: 56.0-48.0=
题目5284: 21.0×88.0+95.0=
题目5285: 66.0-51.0=
题目5286: 82.0+14.0-87.0=
题目5287: 54.0×6.0=
题目5288: 93.0×80.0=
题目5289: 30.0÷23.0÷53.0=
题目5290: 30.0-20.0=
题目5291: 88.0+49.0-25.0=
题目5292: 82.0-20.0=
题目5293: 100.0+94.0+14.0+43.0=
题目5294: 86.0×100.0+18.0=
题目5295: 38.0-12.0=
题目5296: 73.0×50.0=
题目5297: 94.0-82.0+91.0=
题目5298: 93.0+67.0=
题目5299: 23.0-12.0=
题目5300: 71.0×7.0+76.0=
题目5301: 27.0×86.0÷80.0=
题目5302: 4.0×85.0×77.0=
题目5303: 39.0+7.0+98.0=
题目5304: 66.0×32.0÷13.0=
题目5305: (96.0-25.0)×73.0=
题目5306: 76.0÷86.0=
题目5307: 39.0+55.0=
题目5308: 51.0×23.0=
题目5309: 68.0×41.0+5.0=
题目5310: 74.0×51.0=
题目5311: (99.0-89.0)×72.0=
题目5312: 94.0×47.0=
题目5313: (65.0-6.0)÷45.0=
题目5314: 10.0×87.0+19.0=
题目5315: 27.0×22.0+27.0=
题目5316: 100.0+100.0÷32.0=
题目5317: 16.0+44.0×37.0=
题目5318: 15.0÷35.0=
题目5319: 4.0×48.0=
题目5320: 45.0+5.0=
题目5321: 27.0+84.0=
题目5322: (93.0-34.0)×9.0=
题目5323: 46.0+76.0-98.0=
题目5324: 34.0+23.0=
题目5325: 91.0-88.0=
题目5326: 68.0+51.0÷1.0-96.0=
题目5327: 82.0+73.0=
题目5328: 33.0×1.0+82.0=
题目5329: 66.0+8.0÷93.0=
题目5330: 81.0÷87.0=
题目5331: 53.0+93.0=
题目5332: 11.0×28.0=
题目5333: 84.0÷2.0=
题目5334: 37.0÷10.0=
题目5335: 1.0÷22.0×54.0=
题目5336: 92.0-63.0+85.0=
题目5337: 46.0×60.0+41.0=
题目5338: 92.0×35.0=
题目5339: 48.0+74.0-52.0=
题目5340: 38.0+23.0=
题目5341: 80.0-60.0=
题目5342: 66.0÷55.0+51.0=
题目5343: 30.0×94.0+35.0=
题目5344: 93.0-39.0=
题目5345: 90.0×80.0=
题目5346: 19.0+31.0+13.0+68.0=
题目5347: (94.0-74.0)÷45.0=
题目5348: 31.0×3.0=
题目5349: 78.0÷36.0=
题目5350: 15.0+85.0-100.0=
题目5351: 33.0÷25.0×27.0=
题目5352: 8.0+15.0=
题目5353: 84.0-45.0=
题目5354: 93.0÷26.0+24.0=
题目5355: 99.0×94.0+19.0=
题目5356: 26.0×23.0=
题目5357: 92.0-78.0=
题目5358: 41.0×72.0=
题目5359: 37.0×33.0=
题目5360: 29.0×77.0=
题目5361: 67.0+23.0×77.0+6.0=
题目5362: 89.0-27.0=
题目5363: 94.0-53.0=
题目5364: 82.0-75.0=
题目5365: 27.0+83.0+75.0+31.0=
题目5366: 100.0-23.0=
题目5367: 98.0+71.0=
题目5368: 51.0+44.0×92.0=
题目5369: 32.0×40.0=
题目5370: 75.0÷17.0÷2.0=
题目5371: 66.0-37.0=
题目5372: 60.0×64.0×98.0=
题目5373: 41.0+96.0=
题目5374: (82.0-18.0)×57.0=
题目5375: 88.0×52.0÷100.0=
题目5376: 57.0+100.0=
题目5377: 52.0÷40.0÷59.0=
题目5378: 92.0÷53.0÷71.0=
题目5379: 9.0÷25.0×31.0=
题目5380: 84.0+37.0÷21.0=
题目5381: 64.0×33.0=
题目5382: 85.0+19.0×31.0=
题目5383: 86.0-55.0=
题目5384: 1.0×81.0+2.0=
题目5385: 62.0÷11.0×6.0=
题目5386: 57.0-32.0=
题目5387: 23.0+11.0=
题目5388: 25.0+16.0=
题目5389: 31.0×52.0=
题目5390: 35.0÷89.0=
题目5391: 25.0÷9.0+47.0=
题目5392: 2.0+8.0=
题目5393: 39.0×11.0=
题目5394: 42.0×25.0=
题目5395: 53.0÷10.0+36.0=
题目5396: 70.0+5.0÷78.0=
题目5397: 3.0÷16.0=
题目5398: 96.0×13.0+98.0=
题目5399: 17.0-6.0=
题目5400: 3.0×17.0=
题目5401: 69.0-14.0+48.0=
题目5402: 63.0÷80.0=
题目5403: 95.0×58.0+54.0=
题目5404: 38.0-21.0=
题目5405: 47.0×90.0=
题目5406: 17.0÷45.0=
题目5407: 80.0+20.0=
题目5408: 96.0-15.0=
题目5409: 29.0+80.0÷70.0=
题目5410: 42.0-36.0=
题目5411: 13.0+62.0-23.0=
题目5412: (96.0-79.0)×42.0=
题目5413: 44.0×48.0×38.0=
题目5414: 4.0+76.0×60.0=
题目5415: (80.0-78.0)÷50.0=
题目5416: 56.0+84.0=
题目5417: 15.0÷22.0=
题目5418: 100.0-16.0=
题目5419: 90.0+33.0=
题目5420: (8.0-1.0)÷9.0=
题目5421: 40.0-7.0=
题目5422: 9.0-23.0+45.0=
题目5423: 69.0÷99.0÷39.0=
题目5424: 52.0÷29.0×42.0=
题目5425: 55.0÷58.0=
题目5426: 56.0÷79.0=
题目5427: 82.0-86.0+21.0=
题目5428: 28.0÷14.0÷12.0=
题目5429: 40.0×90.0=
题目5430: 94.0+25.0=
题目5431: 39.0×77.0÷91.0=
题目5432: 14.0×53.0=
题目5433: 99.0-22.0+51.0=
题目5434: 35.0+30.0-63.0=
题目5435: (84.0-8.0)×49.0=
题目5436: 21.0+20.0=
题目5437: 38.0÷18.0÷85.0=
题目5438: 60.0÷58.0=
题目5439: 94.0÷25.0÷85.0=
题目5440: 97.0+95.0×1.0=
题目5441: 1.0×9.0=
题目5442: 75.0×15.0×55.0=
题目5443: 16.0+60.0÷51.0=
题目5444: 12.0+94.0=
题目5445: 34.0÷86.0=
题目5446: 99.0×77.0=
题目5447: 85.0-77.0=
题目5448: 46.0×17.0=
题目5449: 70.0-32.0=
题目5450: 88.0+39.0-29.0=
题目5451: 37.0-4.0=
题目5452: 74.0-62.0+91.0=
题目5453: 30.0+62.0=
题目5454: 70.0-51.0=
题目5455: 47.0×85.0×26.0=
题目5456: 75.0-54.0=
题目5457: (87.0-13.0)×53.0=
题目5458: 62.0-53.0=
题目5459: 51.0-33.0=
题目5460: 58.0×89.0+59.0=
题目5461: 60.0-1.0=
题目5462: 54.0-3.0=
题目5463: 23.0×99.0÷25.0=
题目5464: 42.0×52.0=
题目5465: 50.0-42.0=
题目5466: (87.0-77.0)×50.0=
题目5467: 91.0-65.0=
题目5468: (43.0-27.0)×77.0=
题目5469: 74.0-36.0=
题目5470: 7.0×25.0+55.0=
题目5471: 19.0+74.0+59.0+13.0=
题目5472: 30.0÷93.0=
题目5473: 19.0×19.0÷74.0=
题目5474: 94.0-59.0+64.0=
题目5475: 30.0×60.0+83.0=
题目5476: 53.0×69.0×20.0=
题目5477: 30.0÷93.0÷61.0=
题目5478: 28.0+6.0=
题目5479: 17.0÷92.0=
题目5480: 45.0×82.0×62.0=
题目5481: 7.0×51.0=
题目5482: 57.0+93.0=
题目5483: 43.0+75.0=
题目5484: 57.0+61.0-50.0=
题目5485: 71.0-22.0-25.0=
题目5486: 45.0+54.0÷63.0+17.0=
题目5487: 77.0-39.0=
题目5488: 12.0×21.0=
题目5489: (63.0-52.0)×42.0=
题目5490: 71.0+80.0-52.0=
题目5491: 66.0+84.0=
题目5492: 83.0-27.0=
题目5493: 55.0+44.0=
题目5494: 44.0+32.0=
题目5495: 71.0×8.0+88.0=
题目5496: 73.0÷43.0=
题目5497: 97.0-83.0=
题目5498: 66.0-44.0=
题目5499: 45.0-44.0=
题目5500: 21.0+68.0=
题目5501: 53.0+10.0=
题目5502: 95.0+27.0=
题目5503: 31.0+32.0+97.0=
题目5504: 87.0+19.0=
题目5505: 70.0+33.0=
题目5506: 7.0+71.0-59.0=
题目5507: 13.0×21.0=
题目5508: 28.0+9.0=
题目5509: 77.0+33.0=
题目5510: 32.0+32.0×5.0=
题目5511: 13.0×42.0÷55.0=
题目5512: 9.0×69.0+91.0=
题目5513: 90.0+54.0-22.0=
题目5514: 37.0×11.0=
题目5515: 84.0÷5.0=
题目5516: 85.0×18.0+3.0=
题目5517: (70.0-49.0)÷24.0=
题目5518: 68.0-64.0=
题目5519: 74.0÷42.0+3.0=
题目5520: 66.0×33.0×26.0=
题目5521: 96.0-60.0=
题目5522: 91.0×23.0+85.0=
题目5523: 56.0÷85.0÷37.0=
题目5524: 65.0×62.0=
题目5525: 70.0÷31.0=
题目5526: 28.0×5.0×30.0=
题目5527: 68.0+2.0+40.0=
题目5528: 95.0+31.0-45.0=
题目5529: 51.0×67.0×89.0=
题目5530: 84.0-36.0=
题目5531: 13.0×86.0×51.0=
题目5532: 75.0+93.0=
题目5533: 36.0÷19.0=
题目5534: 41.0×8.0=
题目5535: 65.0+72.0÷21.0=
题目5536: 73.0÷100.0=
题目5537: 7.0×49.0÷3.0=
题目5538: 53.0+74.0=
题目5539: 7.0÷51.0=
题目5540: 14.0×44.0×4.0=
题目5541: 9.0÷53.0+49.0=
题目5542: 66.0-9.0=
题目5543: (53.0-32.0)÷49.0=
题目5544: 81.0+97.0×4.0=
题目5545: 77.0+28.0=
题目5546: 61.0÷72.0=
题目5547: 69.0×94.0=
题目5548: 8.0-3.0+40.0=
题目5549: 99.0×39.0=
题目5550: 89.0-32.0=
题目5551: 28.0×87.0÷10.0=
题目5552: 94.0×33.0=
题目5553: 80.0-89.0+85.0=
题目5554: 65.0÷33.0÷34.0=
题目5555: 64.0+64.0×57.0=
题目5556: 39.0÷55.0=
题目5557: 8.0÷75.0÷88.0=
题目5558: 5.0×83.0=
题目5559: 40.0÷64.0×5.0=
题目5560: (81.0-13.0)÷66.0=
题目5561: 19.0+93.0=
题目5562: 95.0×38.0+67.0=
题目5563: 59.0×58.0=
题目5564: 97.0×35.0=
题目5565: 55.0÷2.0=
题目5566: 7.0+94.0-40.0=
题目5567: 42.0×97.0=
题目5568: 58.0×1.0÷87.0=
题目5569: 79.0-55.0+25.0=
题目5570: 32.0+99.0÷38.0=
题目5571: 44.0÷34.0=
题目5572: 70.0+45.0=
题目5573: 99.0+78.0×36.0=
题目5574: 49.0×80.0=
题目5575: 78.0÷15.0+83.0=
题目5576: 41.0-16.0=
题目5577: 54.0-17.0+34.0=
题目5578: 62.0×41.0=
题目5579: 53.0×94.0+1.0=
题目5580: 1.0+42.0-38.0=
题目5581: 70.0×10.0=
题目5582: 4.0×28.0=
题目5583: 8.0÷29.0÷68.0=
题目5584: 33.0-28.0=
题目5585: 55.0+55.0×78.0=
题目5586: 100.0+22.0÷71.0×89.0=
题目5587: 6.0×17.0=
题目5588: 62.0+31.0-19.0+60.0=
题目5589: 86.0-65.0=
题目5590: 25.0×26.0=
题目5591: 66.0×21.0=
题目5592: 22.0-1.0+4.0=
题目5593: (87.0-37.0)×94.0=
题目5594: 12.0+40.0÷96.0+100.0=
题目5595: 81.0÷21.0+14.0=
题目5596: 98.0×67.0=
题目5597: 46.0+20.0÷100.0=
题目5598: 87.0+3.0=
题目5599: 39.0+95.0÷82.0=
题目5600: 94.0-83.0=
题目5601: 8.0+88.0=
题目5602: 92.0÷46.0×92.0=
题目5603: 75.0+37.0÷28.0+42.0=
题目5604: 78.0×66.0=
题目5605: 57.0+28.0÷49.0=
题目5606: 36.0-6.0=
题目5607: 53.0+3.0+56.0=
题目5608: 2.0+84.0=
题目5609: 39.0+79.0÷76.0=
题目5610: 46.0÷99.0=
题目5611: 34.0÷78.0+12.0=
题目5612: 83.0-57.0+93.0=
题目5613: (65.0-58.0)÷62.0=
题目5614: 64.0÷28.0+14.0=
题目5615: 98.0+44.0=
题目5616: (78.0-49.0)×84.0=
题目5617: 4.0÷93.0=
题目5618: 88.0×6.0÷13.0=
题目5619: 60.0×71.0×72.0=
题目5620: 9.0×95.0=
题目5621: 54.0÷71.0=
题目5622: 97.0+37.0=
题目5623: 21.0+71.0=
题目5624: 57.0×36.0=
题目5625: (70.0-26.0)×98.0=
题目5626: 91.0+56.0+96.0=
题目5627: 50.0×16.0÷78.0=
题目5628: 15.0×10.0=
题目5629: 99.0+36.0=
题目5630: 92.0×91.0+80.0=
题目5631: 44.0-31.0=
题目5632: 66.0+13.0÷12.0=
题目5633: 9.0+28.0=
题目5634: 48.0+23.0=
题目5635: 9.0×29.0÷48.0=
题目5636: 71.0+82.0=
题目5637: 49.0-23.0=
题目5638: 47.0÷63.0=
题目5639: 87.0-65.0=
题目5640: 40.0-27.0=
题目5641: 45.0-10.0=
题目5642: 66.0÷79.0÷77.0=
题目5643: 24.0+92.0-2.0=
题目5644: 35.0+60.0÷82.0=
题目5645: 33.0×24.0=
题目5646: 16.0÷77.0=
题目5647: 9.0+32.0=
题目5648: 95.0×61.0÷16.0=
题目5649: 32.0+40.0÷4.0+11.0=
题目5650: 49.0+40.0×49.0+21.0=
题目5651: 26.0÷31.0=
题目5652: 19.0×19.0=
题目5653: 95.0-97.0+27.0=
题目5654: 11.0×68.0=
题目5655: 86.0+3.0=
题目5656: 31.0+13.0×43.0+10.0=
题目5657: 27.0-26.0=
题目5658: 41.0÷5.0+50.0=
题目5659: 39.0×26.0+83.0=
题目5660: 10.0-4.0=
题目5661: 89.0÷6.0=
题目5662: 14.0×47.0=
题目5663: 90.0+70.0÷31.0=
题目5664: 42.0+55.0=
题目5665: 6.0÷85.0×61.0=
题目5666: 33.0÷46.0=
题目5667: 14.0×9.0÷98.0=
题目5668: (80.0-37.0)÷88.0=
题目5669: 46.0×60.0÷82.0=
题目5670: 93.0+40.0÷25.0=
题目5671: 92.0÷29.0×20.0=
题目5672: 63.0×5.0+88.0=
题目5673: (98.0-36.0)×80.0=
题目5674: 19.0+12.0×38.0=
题目5675: 63.0+88.0÷52.0=
题目5676: 70.0-47.0=
题目5677: 35.0÷65.0=
题目5678: 41.0+60.0-25.0=
题目5679: 48.0+31.0-95.0+27.0=
题目5680: 85.0×34.0+13.0=
题目5681: 40.0÷12.0+37.0=
题目5682: 62.0+90.0+28.0=
题目5683: 63.0+75.0=
题目5684: 64.0×86.0+5.0=
题目5685: 55.0×33.0+34.0=
题目5686: 45.0×21.0+82.0=
题目5687: 72.0×22.0=
题目5688: 92.0×77.0=
题目5689: 7.0÷3.0=
题目5690: 98.0÷92.0÷46.0=
题目5691: 68.0÷100.0÷86.0=
题目5692: 30.0-16.0=
题目5693: 1.0+19.0=
题目5694: 71.0+46.0-31.0=
题目5695: 52.0-56.0+36.0=
题目5696: 52.0÷17.0=
题目5697: 96.0-37.0=
题目5698: 25.0-50.0+69.0=
题目5699: 88.0÷97.0÷15.0=
题目5700: 43.0-15.0+65.0=
题目5701: 82.0+13.0-86.0=
题目5702: 79.0-50.0=
题目5703: 22.0÷52.0×60.0=
题目5704: 34.0÷32.0=
题目5705: 67.0-62.0=
题目5706: 31.0÷23.0÷20.0=
题目5707: 87.0+30.0=
题目5708: 50.0÷1.0=
题目5709: 89.0+81.0=
题目5710: 17.0÷82.0=
题目5711: 63.0-48.0=
题目5712: 97.0×76.0+18.0=
题目5713: 46.0+47.0=
题目5714: 93.0-82.0=
题目5715: 87.0÷8.0=
题目5716: 32.0÷40.0=
题目5717: 58.0-39.0=
题目5718: 77.0÷43.0=
题目5719: 68.0÷60.0÷87.0=
题目5720: 77.0×40.0+25.0=
题目5721: 69.0+52.0×42.0=
题目5722: 69.0×7.0×1.0=
题目5723: 31.0-30.0=
题目5724: 100.0×35.0+69.0=
题目5725: 100.0-38.0=
题目5726: 17.0+25.0+10.0+74.0=
题目5727: 49.0÷60.0+34.0=
题目5728: 50.0+61.0=
题目5729: 47.0÷25.0=
题目5730: 30.0+81.0+32.0+95.0=
题目5731: 45.0×33.0=
题目5732: 54.0+93.0÷91.0×93.0=
题目5733: 92.0+83.0-38.0=
题目5734: 85.0-8.0=
题目5735: 83.0×22.0=
题目5736: 97.0×24.0+82.0=
题目5737: 56.0×64.0=
题目5738: 93.0×72.0÷46.0=
题目5739: 62.0-8.0=
题目5740: 38.0+51.0=
题目5741: 82.0÷75.0=
题目5742: 70.0÷68.0=
题目5743: 35.0×64.0=
题目5744: 8.0×34.0÷38.0=
题目5745: 84.0-43.0=
题目5746: 6.0+95.0+10.0=
题目5747: 94.0×1.0=
题目5748: (74.0-42.0)÷44.0=
题目5749: 87.0-26.0-22.0=
题目5750: 60.0÷13.0×59.0=
题目5751: 12.0+64.0=
题目5752: 6.0+37.0=
题目5753: 83.0÷14.0=
题目5754: 69.0×15.0÷14.0=
题目5755: 37.0+8.0×30.0=
题目5756: (87.0-8.0)÷60.0=
题目5757: 5.0-4.0+81.0=
题目5758: 40.0×77.0=
题目5759: 80.0×50.0=
题目5760: (88.0-35.0)×52.0=
题目5761: 52.0-35.0=
题目5762: 2.0÷5.0+85.0=
题目5763: 54.0+77.0=
题目5764: 100.0÷43.0=
题目5765: 43.0-25.0=
题目5766: 63.0-21.0=
题目5767: 10.0-6.0=
题目5768: 47.0+56.0=
题目5769: 72.0+42.0=
题目5770: 59.0×49.0+9.0=
题目5771: 28.0×90.0+6.0=
题目5772: 19.0×85.0+6.0=
题目5773: 20.0÷90.0=
题目5774: 62.0÷10.0÷63.0=
题目5775: 12.0×45.0+28.0=
题目5776: 59.0-5.0=
题目5777: (37.0-24.0)÷12.0=
题目5778: 18.0+42.0×61.0=
题目5779: 4.0×38.0÷3.0=
题目5780: 15.0×14.0×56.0=
题目5781: 43.0÷63.0÷99.0=
题目5782: (35.0-20.0)÷82.0=
题目5783: 55.0-21.0=
题目5784: 37.0×70.0÷73.0=
题目5785: 81.0×50.0×93.0=
题目5786: 97.0-67.0=
题目5787: 2.0-1.0=
题目5788: 50.0+1.0=
题目5789: 67.0+92.0=
题目5790: 49.0+20.0=
题目5791: 51.0×66.0×57.0=
题目5792: 26.0-13.0=
题目5793: 67.0×38.0=
题目5794: 20.0-33.0+41.0=
题目5795: 36.0-51.0+99.0=
题目5796: 60.0+13.0=
题目5797: 79.0+37.0-95.0=
题目5798: 62.0+73.0-32.0=
题目5799: 72.0÷88.0×54.0=
题目5800: 20.0+92.0+68.0+77.0=
题目5801: 63.0÷67.0=
题目5802: 8.0÷79.0+45.0=
题目5803: 30.0÷33.0=
题目5804: 41.0×71.0=
题目5805: 41.0×79.0+3.0=
题目5806: 76.0×99.0+29.0=
题目5807: 12.0×51.0=
题目5808: 6.0+99.0÷8.0×59.0=
题目5809: 24.0+79.0=
题目5810: 45.0×23.0×55.0=
题目5811: 80.0÷12.0÷75.0=
题目5812: 5.0×84.0=
题目5813: 29.0÷75.0+92.0=
题目5814: 39.0-20.0=
题目5815: 15.0×58.0=
题目5816: 23.0÷58.0=
题目5817: 88.0÷7.0÷89.0=
题目5818: 72.0-31.0=
题目5819: 82.0-17.0=
题目5820: 60.0+77.0=
题目5821: 45.0+83.0+63.0=
题目5822: 44.0+39.0-69.0=
题目5823: 66.0÷65.0=
题目5824: (80.0-7.0)×33.0=
题目5825: 98.0+27.0-94.0=
题目5826: 38.0+8.0÷98.0=
题目5827: 60.0-7.0=
题目5828: 6.0+3.0÷75.0=
题目5829: 58.0×79.0=
题目5830: 13.0+97.0÷39.0×3.0=
题目5831: 39.0-19.0=
题目5832: 94.0-83.0=
题目5833: 24.0×4.0=
题目5834: 83.0-3.0=
题目5835: 25.0+57.0÷66.0=
题目5836: 11.0+82.0+4.0=
题目5837: 34.0÷9.0=
题目5838: 66.0+8.0×51.0=
题目5839: 74.0×70.0=
题目5840: (90.0-28.0)×44.0=
题目5841: 4.0-10.0+42.0=
题目5842: 44.0÷4.0÷51.0=
题目5843: 65.0-10.0=
题目5844: 5.0+54.0×60.0=
题目5845: 47.0÷73.0+92.0=
题目5846: 94.0×12.0=
题目5847: 71.0÷78.0=
题目5848: 99.0-54.0=
题目5849: 98.0-28.0+12.0=
题目5850: 16.0×58.0=
题目5851: 48.0÷91.0+7.0=
题目5852: 47.0÷61.0÷13.0=
题目5853: 100.0-87.0=
题目5854: 25.0+47.0×34.0=
题目5855: 36.0+56.0-19.0=
题目5856: 97.0-9.0=
题目5857: 77.0+86.0=
题目5858: 59.0÷55.0=
题目5859: 33.0-27.0=
题目5860: 69.0+81.0÷78.0=
题目5861: 55.0×4.0÷92.0=
题目5862: (92.0-25.0)×29.0=
题目5863: 38.0-22.0=
题目5864: 68.0÷87.0=
题目5865: 89.0-13.0=
题目5866: 6.0+27.0=
题目5867: 45.0-13.0=
题目5868: 63.0+85.0=
题目5869: 17.0×87.0+16.0=
题目5870: 16.0÷87.0÷61.0=
题目5871: 75.0+96.0÷80.0=
题目5872: 6.0+94.0÷39.0=
题目5873: 37.0÷21.0=
题目5874: 100.0+95.0=
题目5875: 64.0÷54.0×94.0=
题目5876: 48.0×36.0×12.0=
题目5877: 70.0×63.0+40.0=
题目5878: 73.0×68.0=
题目5879: 81.0+13.0÷34.0=
题目5880: 27.0×63.0+72.0=
题目5881: (73.0-3.0)÷94.0=
题目5882: 36.0+47.0=
题目5883: 85.0-67.0+5.0=
题目5884: 48.0×48.0+56.0=
题目5885: 1.0+66.0=
题目5886: 18.0+77.0-73.0+77.0=
题目5887: 17.0×55.0=
题目5888: 62.0÷1.0=
题目5889: 47.0-17.0=
题目5890: 41.0+88.0×93.0=
题目5891: 85.0-8.0+86.0=
题目5892: (87.0-41.0)×15.0=
题目5893: 85.0-24.0=
题目5894: 52.0+33.0=
题目5895: 34.0+32.0=
题目5896: 82.0×38.0+100.0=
题目5897: 71.0÷62.0×16.0=
题目5898: 91.0+61.0÷11.0-94.0=
题目5899: (67.0-7.0)×52.0=
题目5900: 84.0-63.0=
题目5901: 45.0-5.0=
题目5902: 25.0×33.0×93.0=
题目5903: 45.0+27.0=
题目5904: 75.0-18.0=
题目5905: 92.0+45.0+45.0=
题目5906: 80.0-29.0=
题目5907: 55.0+11.0=
题目5908: 22.0×60.0+52.0=
题目5909: 29.0÷84.0+3.0=
题目5910: 11.0+54.0=
题目5911: 12.0×58.0=
题目5912: 12.0-5.0=
题目5913: 24.0+46.0÷13.0=
题目5914: 6.0×51.0=
题目5915: 94.0-66.0=
题目5916: 52.0÷89.0+91.0=
题目5917: 33.0÷20.0×97.0=
题目5918: 30.0-11.0-19.0=
题目5919: 27.0÷55.0÷31.0=
题目5920: 49.0+26.0=
题目5921: (86.0-29.0)×33.0=
题目5922: (54.0-39.0)÷90.0=
题目5923: 78.0+67.0=
题目5924: 55.0×22.0=
题目5925: 29.0×75.0=
题目5926: 44.0×86.0=
题目5927: 5.0+86.0×100.0=
题目5928: 16.0÷69.0=
题目5929: 65.0+5.0-1.0+62.0=
题目5930: 89.0-63.0+64.0=
题目5931: 31.0×6.0=
题目5932: 52.0×22.0+31.0=
题目5933: 61.0-75.0+78.0=
题目5934: 75.0÷78.0=
题目5935: 63.0×1.0=
题目5936: 20.0÷86.0=
题目5937: 66.0-20.0=
题目5938: 68.0-53.0=
题目5939: 26.0+36.0=
题目5940: 77.0+85.0×32.0=
题目5941: 76.0+81.0-87.0+60.0=
题目5942: 8.0×67.0=
题目5943: 17.0×23.0×97.0=
题目5944: 78.0×93.0=
题目5945: 27.0+27.0÷89.0+23.0=
题目5946: 69.0×94.0+37.0=
题目5947: 42.0÷70.0=
题目5948: 57.0×39.0÷44.0=
题目5949: 47.0÷80.0÷39.0=
题目5950: 36.0÷100.0×82.0=
题目5951: 95.0×76.0×34.0=
题目5952: 19.0÷43.0=
题目5953: 89.0×54.0=
题目5954: 83.0+45.0-20.0=
题目5955: 22.0×88.0×74.0=
题目5956: 7.0+65.0=
题目5957: 64.0÷75.0=
题目5958: 12.0×5.0=
题目5959: 97.0+1.0÷76.0=
题目5960: 31.0×36.0÷27.0=
题目5961: 83.0×73.0=
题目5962: 38.0×71.0=
题目5963: 46.0÷16.0=
题目5964: 61.0×59.0=
题目5965: 94.0÷92.0+51.0=
题目5966: 15.0×91.0=
题目5967: 51.0-34.0=
题目5968: 6.0×77.0×22.0=
题目5969: 14.0+37.0=
题目5970: 78.0+55.0=
题目5971: 40.0+68.0÷48.0=
题目5972: 41.0+55.0+7.0=
题目5973: 60.0-56.0=
题目5974: 49.0+45.0÷76.0=
题目5975: 37.0÷4.0=
题目5976: 18.0÷39.0÷95.0=
题目5977: 67.0÷30.0=
题目5978: 2.0÷14.0×96.0=
题目5979: (25.0-7.0)×58.0=
题目5980: 57.0+63.0×54.0=
题目5981: 66.0÷89.0=
题目5982: 62.0×75.0+81.0=
题目5983: 90.0-43.0=
题目5984: 13.0-25.0+55.0=
题目5985: 80.0÷17.0÷67.0=
题目5986: 89.0-50.0=
题目5987: 57.0+74.0-45.0=
题目5988: 56.0÷15.0+44.0=
题目5989: 42.0+6.0÷13.0=
题目5990: 100.0+94.0=
题目5991: 35.0÷21.0÷70.0=
题目5992: 94.0-12.0+11.0=
题目5993: 71.0×90.0=
题目5994: 30.0×2.0×97.0=
题目5995: 86.0+77.0÷26.0=
题目5996: 66.0-36.0=
题目5997: 57.0+89.0-25.0=
题目5998: 62.0÷88.0=
题目5999: 78.0÷92.0=
题目6000: 61.0+63.0=
题目6001: 74.0×89.0+28.0=
题目6002: 78.0×79.0=
题目6003: (90.0-46.0)×51.0=
题目6004: 73.0÷38.0+36.0=
题目6005: 87.0×8.0=
题目6006: 76.0÷48.0÷31.0=
题目6007: 16.0+51.0=
题目6008: (18.0-16.0)×54.0=
题目6009: 93.0×80.0+20.0=
题目6010: 72.0÷10.0×74.0=
题目6011: 18.0+16.0=
题目6012: 4.0÷51.0=
题目6013: 94.0+15.0=
题目6014: 63.0-57.0=
题目6015: 7.0÷40.0×50.0=
题目6016: 54.0÷49.0=
题目6017: 82.0+61.0×79.0=
题目6018: 14.0+47.0=
题目6019: 94.0+55.0=
题目6020: 81.0÷82.0=
题目6021: 10.0+32.0-37.0=
题目6022: 55.0-7.0=
题目6023: 16.0+31.0=
题目6024: 45.0×97.0=
题目6025: 100.0-1.0=
题目6026: 79.0×85.0+1.0=
题目6027: 99.0-22.0=
题目6028: 26.0÷3.0=
题目6029: 46.0×6.0×3.0=
题目6030: 99.0-88.0=
题目6031: 44.0×41.0÷60.0=
